id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827798,1839330,1,0.36067376,0.035714286,78,0.0625,0.5,2,0
1827798,1848676,1,0.36067376,0.038461538,26,0.0625,0.5,2,0
1827798,1853748,1,0.300101629,0.027027027,312,0.035714286,0.5,2,0
1827798,1869841,1,0.300101629,0.035714286,78,0.035714286,0.5,2,0
1827875,1844225,1,0.378923182,0.076923077,33,0.071428571,0.5,0,0
1827888,1858255,1,0.558110627,0.1,24,0.166666667,0.5,2,0
1827888,1859246,1,0.558110627,0.2,9,0.166666667,0.5,2,0
1827888,1859353,1,0.480898347,0.083333333,30,0.125,0.5,2,0
1827888,1860365,1,0.480898347,0.142857143,15,0.125,0.5,2,0
1827988,1833227,1,0.352956124,0.052631579,84,0.058823529,0.5,0,0
1827988,1835049,1,0.402429604,0.090909091,36,0.083333333,0.5,4,0
1827988,1836701,1,0.352956124,0.05,90,0.058823529,0.5,0,0
1827988,1840745,1,0.352956124,0.083333333,42,0.058823529,0.5,0,0
1827988,1843263,1,0.402429604,0.090909091,36,0.083333333,0.5,0,0
1827988,1857138,1,0.402429604,0.090909091,36,0.083333333,0.5,2,0
1827988,1859044,1,0.352956124,0.0625,66,0.058823529,0.5,0,0
1827988,1871581,1,0.352956124,0.1,30,0.058823529,0.5,0,0
1828016,1853006,1,0.402429604,0.090909091,36,0.083333333,0.5,3,0
1828021,1831186,1,0.389871245,0.052631579,64,0.076923077,0.5,0,0
1828021,1833269,1,0.389871245,0.083333333,36,0.076923077,0.5,0,0
1828021,1851757,1,0.389871245,0.058823529,56,0.076923077,0.5,0,0
1828035,1829256,1,0.480898347,0.142857143,12,0.125,0.5,0,0
1828043,1836322,1,0.455119613,0.166666667,10,0.111111111,0.5,0,0
1828094,1853336,1,0.455119613,0.090909091,36,0.111111111,0.5,0,0
1828094,1860522,1,0.455119613,0.125,18,0.111111111,0.5,0,0
1828096,1841059,1,0.558110627,0.2,8,0.166666667,0.5,2,0
1828096,1841077,1,0.558110627,0.166666667,10,0.166666667,0.5,4,0
1828112,1829686,4,2.485339738,0.666666667,25,0.8,1,4,1
1828112,1833130,4,2.485339738,0.666666667,25,0.8,1,6,1
1828135,1866527,1,0.910239227,0.25,4,0.333333333,0.5,2,0
1828137,1857704,1,0.378923182,0.076923077,48,0.071428571,0.5,4,0
1828143,1832100,1,0.480898347,0.090909091,35,0.125,0.5,0,0
1828143,1853973,3,1.956593383,0.6,16,0.642857143,1,0,1
1828143,1871793,3,2.164042561,0.375,28,0.75,1,0,1
1828154,1832191,1,0.378923182,0.125,8,0.071428571,0.5,2,0
1828154,1832214,1,0.378923182,0.166666667,6,0.071428571,0.5,2,0
1828154,1832436,1,0.378923182,0.2,5,0.071428571,0.5,2,0
1828154,1836697,1,0.378923182,0.25,4,0.071428571,0.5,4,0
1828154,1848575,1,0.378923182,0.25,4,0.071428571,0.5,2,0
1828154,1849700,1,0.378923182,0.2,5,0.071428571,0.5,4,0
1828154,1853144,1,0.378923182,0.125,8,0.071428571,0.5,4,0
1828154,1854204,1,0.378923182,0.166666667,6,0.071428571,0.5,0,0
1828154,1854474,1,0.378923182,0.166666667,6,0.071428571,0.5,4,0
1828206,1832733,1,0.323515453,0.111111111,21,0.045454545,0.5,0,0
1828206,1833124,1,0.323515453,0.055555556,84,0.045454545,0.5,0,0
1828206,1873512,1,0.323515453,0.03125,182,0.045454545,0.5,0,0
1828242,1831186,1,0.36067376,0.058823529,32,0.0625,0.5,0,0
1828242,1831407,1,0.36067376,0.083333333,22,0.0625,0.5,0,0
1828242,1833269,1,0.36067376,0.1,18,0.0625,0.5,2,0
1828242,1842539,1,0.36067376,0.0625,30,0.0625,0.5,4,0
1828242,1843531,1,0.36067376,0.1,18,0.0625,0.5,4,0
1828242,1850020,1,0.36067376,0.071428571,26,0.0625,0.5,0,0
1828242,1851757,1,0.36067376,0.066666667,28,0.0625,0.5,4,0
1828242,1853029,1,0.36067376,0.142857143,12,0.0625,0.5,2,0
1828245,1830831,2,0.777706152,0.2,36,0.153409091,0.5,3,0
1828245,1832247,2,0.777706152,0.2,36,0.153409091,0.5,0,0
1828245,1839848,1,0.417032391,0.1,30,0.090909091,0.5,2,0
1828245,1842502,1,0.339623272,0.076923077,48,0.052631579,0.5,0,0
1828245,1847030,2,0.777706152,0.111111111,84,0.153409091,0.5,3,0
1828245,1848863,4,1.534361815,0.4,48,0.296949761,0.5,5,0
1828245,1858559,1,0.417032391,0.1,30,0.090909091,0.5,0,0
1828245,1862802,1,0.339623272,0.076923077,48,0.052631579,0.5,4,0
1828245,1873992,1,0.417032391,0.066666667,60,0.090909091,0.5,2,0
1828272,1851800,5,2.649474898,0.714285714,36,0.757575758,1,8,1
1828352,1832256,8,3.640956907,0.666666667,99,0.888888889,1,13,1
1828352,1837495,8,3.640956907,0.666666667,99,0.888888889,1,9,1
1828428,1829330,1,0.352956124,0.035714286,208,0.058823529,0.5,0,0
1828428,1831058,1,0.310667467,0.052631579,64,0.04,0.5,0,0
1828428,1831281,2,0.755385728,0.117647059,48,0.142156863,0.5,0,0
1828428,1834335,3,1.042546773,0.142857143,128,0.170252101,0.5,0,0
1828428,1837112,9,3.632770385,0.428571429,200,0.759803922,1,2,1
1828428,1837205,1,0.352956124,0.045454545,112,0.058823529,0.5,0,0
1828428,1837230,1,0.352956124,0.038461538,176,0.058823529,0.5,0,0
1828428,1838078,1,0.352956124,0.05,80,0.058823529,0.5,0,0
1828428,1839935,3,1.042546773,0.125,176,0.170252101,0.5,5,0
1828428,1850622,2,0.755385728,0.086956522,144,0.142156863,0.5,0,0
1828428,1855877,2,0.686764325,0.125,80,0.108823529,0.5,2,1
1828512,1836468,4,2.42211543,0.363636364,56,0.766666667,1,5,1
1828512,1836650,4,2.377903146,0.4,48,0.742857143,1,5,1
1828512,1837165,2,0.889414095,0.111111111,36,0.211111111,0.5,3,0
1828512,1839913,1,0.434294482,0.035714286,198,0.1,0.5,2,0
1828512,1853830,1,0.434294482,0.04,144,0.1,0.5,2,0
1828512,1854782,1,0.434294482,0.055555556,18,0.1,0.5,2,0
1828512,1861557,1,0.434294482,0.037037037,180,0.1,0.5,2,0
1828512,1871439,1,0.434294482,0.041666667,126,0.1,0.5,2,0
1828549,1849497,1,0.455119613,0.125,20,0.111111111,0.5,0,0
1828666,1829093,1,0.369269373,0.071428571,50,0.066666667,0.5,4,0
1828666,1831718,1,0.434294482,0.083333333,40,0.1,0.5,2,0
1828666,1832117,1,0.369269373,0.071428571,50,0.066666667,0.5,2,0
1828666,1836770,1,0.434294482,0.111111111,25,0.1,0.5,0,0
1828666,1839490,2,0.803563855,0.111111111,75,0.166666667,0.5,0,0
1828666,1860365,1,0.434294482,0.111111111,25,0.1,0.5,4,0
1828697,1830166,1,0.333808201,0.0625,30,0.05,0.5,0,0
1828697,1830169,1,0.333808201,0.083333333,22,0.05,0.5,0,0
1828697,1830851,1,0.333808201,0.2,8,0.05,0.5,0,0
1828697,1851361,1,0.333808201,0.066666667,28,0.05,0.5,0,0
1828697,1866183,1,0.333808201,0.111111111,16,0.05,0.5,0,0
1828782,1835522,5,2.790553133,0.714285714,36,0.833333333,1,12,1
1828818,1830298,1,0.455119613,0.083333333,36,0.111111111,0.5,2,0
1828818,1850097,1,0.455119613,0.125,20,0.111111111,0.5,2,0
1828851,1830766,2,0.6397249,0.111111111,99,0.088345865,0.5,3,0
1828851,1831681,1,0.300101629,0.071428571,54,0.035714286,0.5,2,0
1828851,1834434,2,0.6397249,0.095238095,126,0.088345865,0.5,3,0
1828851,1853748,1,0.300101629,0.05,108,0.035714286,0.5,2,0
1828851,1857469,2,0.6397249,0.111111111,99,0.088345865,0.5,0,0
1828851,1869841,1,0.300101629,0.090909091,27,0.035714286,0.5,2,0
1828865,1834759,1,0.480898347,0.066666667,15,0.125,0.5,0,0
1828865,1841569,1,0.480898347,0.142857143,7,0.125,0.5,0,0
1828947,1829330,1,0.352956124,0.034482759,221,0.058823529,0.5,1,0
1828947,1830647,1,0.455119613,0.045454545,102,0.111111111,0.5,0,0
1828947,1831058,1,0.310667467,0.05,68,0.04,0.5,0,0
1828947,1831281,2,1.36535884,0.5,9,0.444444444,1,0,1
1828947,1834335,2,0.663623591,0.086956522,136,0.098823529,0.5,0,0
1828947,1837112,0,0,0,12,0,0,0,1
1828947,1837205,1,0.352956124,0.043478261,119,0.058823529,0.5,1,0
1828947,1837230,1,0.352956124,0.037037037,187,0.058823529,0.5,1,0
1828947,1839301,2,0.671341228,0.090909091,119,0.1025,0.5,0,0
1828947,1839935,2,0.663623591,0.076923077,187,0.098823529,0.5,0,0
1828947,1842067,2,0.671341228,0.090909091,119,0.1025,0.5,1,0
1828947,1843384,1,0.417032391,0.045454545,102,0.090909091,0.5,0,0
1828947,1853059,2,1.36535884,0.5,9,0.444444444,1,4,1
1828947,1853095,2,0.663623591,0.086956522,136,0.098823529,0.5,1,0
1828947,1855877,3,1.024297351,0.107142857,238,0.161323529,0.5,0,0
1828951,1854915,1,0.513898342,0.142857143,15,0.142857143,0.5,2,0
